,close,close_dt,commodity,contract,count,direction,holding_period,multiplier,open,open_dt,pnl,rtn,tcost,tcost_mode,tcost_unit,volume
157,9890.0,2013-05-03,L,L.DCE_MC_LastMonthEnd,7,-1.0,18,5,10045.0,2013-04-16,303025.0,0.015430562468889995,0,,,391.0
158,9890.0,2013-05-03,L,L.DCE_MC_LastMonthEnd,8,-1.0,2,5,9700.0,2013-05-02,-16150.0,-0.01958762886597938,0,,,17.0
159,11530.0,2013-08-16,L,L.DCE_MC_LastMonthEnd,9,1.0,2,5,11525.0,2013-08-15,25.0,0.0004338394793926247,0,,,1.0
160,11530.0,2013-08-26,L,L.DCE_MC_LastMonthEnd,10,1.0,12,5,11525.0,2013-08-15,75.0,0.0004338394793926247,0,,,3.0
161,11530.0,2013-08-26,L,L.DCE_MC_LastMonthEnd,11,1.0,8,5,11545.0,2013-08-19,-150.0,-0.00129926375054136,0,,,2.0
162,11530.0,2013-08-26,L,L.DCE_MC_LastMonthEnd,12,1.0,6,5,11500.0,2013-08-21,150.0,0.0026086956521739132,0,,,1.0
163,11415.0,2013-08-23,L,L.DCE_MC_LastMonthEnd,13,1.0,2,5,11460.0,2013-08-22,-225.0,-0.003926701570680628,0,,,1.0
164,11665.0,2013-08-27,L,L.DCE_MC_LastMonthEnd,14,1.0,13,5,11525.0,2013-08-15,2800.0,0.012147505422993492,0,,,4.0
165,11855.0,2013-08-28,L,L.DCE_MC_LastMonthEnd,15,1.0,14,5,11525.0,2013-08-15,14850.0,0.02863340563991323,0,,,9.0
166,12200.0,2013-08-29,L,L.DCE_MC_LastMonthEnd,16,1.0,15,5,11525.0,2013-08-15,23625.0,0.05856832971800434,0,,,7.0
167,10845.0,2013-09-03,L,L.DCE_MC_LastMonthEnd,17,1.0,20,5,11525.0,2013-08-15,-1098200.0,-0.05900216919739696,0,,,323.0
168,10845.0,2013-09-03,L,L.DCE_MC_LastMonthEnd,18,1.0,5,5,12325.0,2013-08-30,-22200.0,-0.12008113590263692,0,,,3.0
169,10845.0,2013-09-03,L,L.DCE_MC_LastMonthEnd,19,1.0,2,5,10800.0,2013-09-02,9900.0,0.004166666666666667,0,,,44.0
170,11625.0,2013-12-26,L,L.DCE_MC_LastMonthEnd,20,1.0,10,5,11735.0,2013-12-17,-550.0,-0.009373668512995313,0,,,1.0
