,fut_close,direction,dt_open,remain_close,remain_open,basis_close,basis_open,fut_slope,spot_open,spot_close,basis_rtn,count,spot_slope,fut_rtn,slope_diff,dt_close,cmd,fut_open
5,632.2,1,2017-07-31,7.0,38.0,-12.200000000000045,25.200000000000045,1.1242105263157895,635.0,620.0,37.40000000000009,5,2.2022556390977446,22.40000000000009,1.078045112781955,2017-08-31,ZC,609.8
6,690.0,1,2017-11-29,10.0,40.0,12.0,18.399999999999977,1.8037593984962055,677.0,702.0,6.399999999999977,6,-0.8924812030075188,31.399999999999977,-2.696240601503724,2017-12-29,ZC,658.6
7,619.8,1,2018-03-29,11.0,40.0,-30.799999999999955,31.799999999999955,-2.99609022556391,609.0,589.0,62.59999999999991,7,-3.0443609022556393,42.59999999999991,-0.04827067669172935,2018-04-27,ZC,577.2
8,629.2,1,2018-07-30,7.0,39.0,-7.2000000000000455,21.600000000000023,-1.9881203007518446,614.0,622.0,28.800000000000068,8,-3.3917293233082706,36.80000000000007,-1.403609022556426,2018-08-31,ZC,592.4
9,593.6,1,2018-11-28,38.0,40.0,33.39999999999998,29.200000000000045,-1.3717293233082706,632.0,627.0,-4.199999999999932,9,-1.0609022556390977,-9.199999999999932,0.3108270676691729,2018-11-30,ZC,602.8
1,4006.0,-1,2014-05-07,17.0,40.0,119.0,-11.0,0.7218045112781954,4125.0,4125.0,130.0,1,-0.0,130.0,-0.7218045112781954,2014-05-30,BU,4136.0
2,3520.0,1,2014-11-05,17.0,40.0,580.0,199.0,-1.7308270676691728,4225.0,4100.0,-381.0,2,-2.255639097744361,-506.0,-0.5248120300751882,2014-11-28,BU,4026.0
3,2996.0,-1,2015-05-06,17.0,40.0,104.0,-174.0,-5.44812030075188,3150.0,3100.0,278.0,3,3.6090225563909772,328.0,9.057142857142857,2015-05-29,BU,3324.0
4,1938.0,1,2015-11-05,15.0,40.0,437.0,406.0,-16.05263157894737,2650.0,2375.0,-31.0,4,-4.774436090225564,-306.0,11.278195488721806,2015-11-30,BU,2244.0
5,1706.0,1,2016-05-06,15.0,40.0,69.0,20.0,3.7774436090225563,1800.0,1775.0,-49.0,5,1.9172932330827068,-74.0,-1.8601503759398494,2016-05-31,BU,1780.0
6,1916.0,1,2016-11-07,15.0,38.0,59.0,28.0,2.745864661654135,1800.0,1975.0,-31.0,6,1.5789473684210527,144.0,-1.1669172932330825,2016-11-30,BU,1772.0
7,2260.0,1,2017-05-08,15.0,38.0,190.0,186.0,-6.132330827067669,2600.0,2450.0,-4.0,7,-3.2030075187969924,-154.0,2.9293233082706767,2017-05-31,BU,2414.0
8,2482.0,-1,2017-11-06,15.0,39.0,158.0,-20.0,7.329323308270677,2510.0,2640.0,178.0,8,1.3233082706766917,48.0,-6.006015037593985,2017-11-30,BU,2530.0
9,3048.0,1,2018-05-07,15.0,39.0,172.0,111.0,2.345864661654135,2985.0,3220.0,-61.0,9,8.763157894736842,174.0,6.417293233082708,2018-05-31,BU,2874.0
10,2922.0,1,2018-11-07,17.0,40.0,1053.0,585.0,-24.5593984962406,3975.0,3975.0,-468.0,10,-0.0,-468.0,24.5593984962406,2018-11-30,BU,3390.0
1,3450.0,-1,2009-09-07,15.0,38.0,-20.0,-378.0,-44.41954887218045,3440.0,3430.0,358.0,1,-33.69924812030075,368.0,10.720300751879698,2009-09-30,RB,3818.0
2,3901.0,-1,2009-12-07,15.0,39.0,-71.0,-35.0,-8.563157894736841,3740.0,3830.0,-36.0,2,-0.9097744360902256,-126.0,7.653383458646616,2009-12-31,RB,3775.0
3,4290.0,-1,2010-04-07,17.0,40.0,-50.0,-190.0,12.921804511278195,4270.0,4240.0,140.0,3,21.112781954887218,170.0,8.190977443609023,2010-04-30,RB,4460.0
4,4180.0,-1,2010-09-06,15.0,39.0,120.0,-168.0,7.571428571428571,4300.0,4300.0,288.0,4,8.80451127819549,288.0,1.2330827067669183,2010-09-30,RB,4468.0
5,5130.0,1,2010-12-08,17.0,40.0,-440.0,19.0,9.968421052631578,4710.0,4690.0,459.0,5,4.827067669172933,439.0,-5.141353383458646,2010-12-31,RB,4691.0
6,4901.0,-1,2011-04-06,17.0,40.0,-81.0,-150.0,0.7030075187969925,4650.0,4820.0,69.0,6,-0.518796992481203,-101.0,-1.2218045112781954,2011-04-29,RB,4800.0
7,4350.0,-1,2011-09-07,17.0,40.0,270.0,-106.0,-0.43082706766917295,4800.0,4620.0,376.0,7,-2.1954887218045114,556.0,-1.7646616541353384,2011-09-30,RB,4906.0
8,4331.0,1,2011-12-05,14.0,39.0,9.0,59.0,6.338345864661654,4410.0,4340.0,50.0,8,1.0601503759398496,-20.0,-5.2781954887218046,2011-12-30,RB,4351.0
9,4185.0,-1,2012-04-05,18.0,40.0,85.0,-86.0,2.8586466165413533,4240.0,4270.0,171.0,9,2.654135338345865,141.0,-0.20451127819548853,2012-04-27,RB,4326.0
10,3650.0,1,2012-09-05,17.0,40.0,130.0,180.0,-19.382706766917295,3510.0,3780.0,50.0,10,-8.353383458646617,320.0,11.029323308270678,2012-09-28,RB,3330.0
11,3860.0,-1,2012-12-06,15.0,40.0,-190.0,-21.0,-6.078195488721804,3590.0,3670.0,-169.0,11,-17.857142857142858,-249.0,-11.778947368421054,2012-12-31,RB,3611.0
12,3500.0,-1,2013-04-08,19.0,37.0,40.0,-90.0,-7.393233082706767,3660.0,3540.0,130.0,12,-3.2481203007518795,250.0,4.145112781954888,2013-04-26,RB,3750.0
13,3442.0,-1,2013-09-05,15.0,40.0,-2.0,-61.0,-9.775187969924811,3490.0,3440.0,59.0,13,-3.6090225563909772,109.0,6.166165413533834,2013-09-30,RB,3551.0
14,3347.0,1,2013-12-06,15.0,40.0,93.0,90.0,2.0255639097744362,3650.0,3440.0,-3.0,14,1.6842105263157894,-213.0,-0.34135338345864685,2013-12-31,RB,3560.0
15,3325.0,-1,2014-04-08,15.0,37.0,-105.0,-43.0,9.334586466165414,3270.0,3220.0,-62.0,15,6.609022556390977,-12.0,-2.7255639097744364,2014-04-30,RB,3313.0
16,2452.0,1,2014-09-05,15.0,40.0,328.0,61.0,-17.73609022556391,2810.0,2780.0,-267.0,16,-13.93984962406015,-297.0,3.7962406015037597,2014-09-30,RB,2749.0
17,2595.0,1,2014-12-08,15.0,38.0,75.0,144.0,1.343609022556391,2790.0,2670.0,69.0,17,-7.601503759398496,-51.0,-8.945112781954887,2014-12-31,RB,2646.0
18,2198.0,1,2015-04-07,15.0,38.0,122.0,110.0,-1.6037593984962406,2400.0,2320.0,-12.0,18,7.383458646616542,-92.0,8.987218045112783,2015-04-30,RB,2290.0
