日期,LL神华煤化工价格
2011-08-17,10350.0
2011-08-18,10400.0
2011-08-22,10150.0
2011-08-23,10200.0
2011-08-24,10300.0
2011-08-25,10300.0
2011-08-26,10300.0
2011-08-29,10300.0
2011-08-30,10350.0
2011-08-31,10350.0
2011-09-01,10350.0
2011-09-02,10350.0
2011-09-05,10300.0
2011-09-06,10250.0
2011-09-07,10300.0
2011-09-08,10300.0
2011-09-09,10300.0
2011-09-13,10300.0
2011-09-14,10250.0
2011-09-15,10250.0
2011-09-16,10250.0
2011-09-19,10100.0
2011-09-20,10000.0
2011-09-21,9800.0
2011-09-22,9800.0
2011-09-23,9500.0
2011-09-26,9400.0
2011-09-27,9400.0
2011-09-28,9400.0
2011-09-29,9200.0
2011-09-30,9300.0
2011-10-10,9500.0
2011-10-11,9450.0
2011-10-12,9250.0
2011-10-13,9200.0
2011-10-14,9250.0
2011-10-17,9300.0
2011-10-18,9300.0
2011-10-19,9250.0
2011-10-20,8800.0
2011-10-21,8700.0
2011-10-24,8700.0
2011-10-25,9000.0
2011-10-26,9200.0
2011-10-27,9300.0
2011-10-28,9500.0
2011-10-31,9400.0
2011-11-01,9400.0
2011-11-02,9400.0
2011-11-03,9500.0
2011-11-04,9600.0
2011-11-07,9600.0
2011-11-08,9550.0
2011-11-09,9550.0
2011-11-10,9200.0
2011-11-11,9200.0
2011-11-14,9450.0
2011-11-15,9450.0
2011-11-16,9400.0
2011-11-17,9350.0
2011-11-18,9250.0
2011-11-21,9200.0
2011-11-22,9200.0
2011-11-23,9200.0
2011-11-24,9000.0
2011-11-25,9050.0
2011-11-28,9200.0
2011-11-29,9150.0
2011-11-30,9100.0
2011-12-01,9250.0
2011-12-02,9200.0
2011-12-05,9200.0
2011-12-06,9200.0
2011-12-07,9200.0
2011-12-08,9150.0
2011-12-09,9100.0
2011-12-12,9050.0
2011-12-13,9000.0
2011-12-14,9000.0
2011-12-15,8900.0
2011-12-16,8900.0
2011-12-19,8900.0
2011-12-20,8900.0
2011-12-21,8950.0
2011-12-22,8900.0
2011-12-23,9000.0
2011-12-26,9050.0
2011-12-27,9050.0
2011-12-28,9100.0
2011-12-29,9100.0
2011-12-30,9200.0
2012-01-04,9300.0
2012-01-05,9350.0
2012-01-06,9350.0
2012-01-09,9350.0
2012-01-10,9350.0
2012-01-11,9350.0
2012-01-12,9350.0
2012-01-13,9300.0
2012-01-16,9300.0
2012-01-17,9350.0
2012-01-18,9400.0
2012-01-19,9450.0
2012-01-20,9500.0
2012-01-30,9600.0
2012-01-31,9650.0
2012-02-01,9600.0
2012-02-02,9650.0
2012-02-03,9650.0
2012-02-06,9750.0
2012-02-07,9750.0
2012-02-08,9750.0
2012-02-09,9750.0
2012-02-10,9750.0
2012-02-13,9750.0
2012-02-14,9750.0
2012-02-15,9700.0
2012-02-16,9650.0
2012-02-17,9650.0
2012-02-20,9650.0
2012-02-21,9700.0
2012-02-22,9750.0
2012-02-23,9750.0
2012-02-24,9750.0
2012-02-27,9800.0
2012-02-28,9850.0
2012-02-29,9900.0
2012-03-01,9950.0
2012-03-02,10100.0
2012-03-05,10150.0
2012-03-06,10200.0
2012-03-07,10150.0
2012-03-08,10150.0
2012-03-09,10200.0
2012-03-12,10300.0
2012-03-13,10400.0
2012-03-14,10450.0
2012-03-15,10500.0
2012-03-16,10450.0
2012-03-19,10400.0
2012-03-20,10400.0
2012-03-21,10400.0
2012-03-22,10400.0
2012-03-23,10400.0
2012-03-26,10400.0
2012-03-27,10450.0
2012-03-28,10400.0
2012-03-29,10350.0
2012-03-30,10350.0
2012-04-05,10300.0
2012-04-06,10400.0
