日期,现货（常州sg-5低端价）
2016/3/30,5340
2016/3/31,5340
2016/4/1,5340
2016/4/5,5340
2016/4/6,5340
2016/4/7,5340
2016/4/8,5310
2016/4/11,5310
2016/4/12,5310
2016/4/13,5280
2016/4/14,5260
2016/4/15,5260
2016/4/18,5250
2016/4/19,5250
2016/4/20,5200
2016/4/21,5250
2016/4/22,5300
2016/4/25,5300
2016/4/26,5340
2016/4/27,5320
2016/4/28,5310
2016/4/29,5310
2016/5/3,5310
2016/5/4,5300
2016/5/5,5250
2016/5/6,5250
2016/5/9,5240
2016/5/10,5240
2016/5/11,5240
2016/5/12,5240
2016/5/13,5240
2016/5/16,5200
2016/5/17,5200
2016/5/18,5200
2016/5/19,5200
2016/5/20,5240
2016/5/23,5300
2016/5/24,5300
2016/5/25,5300
2016/5/26,5300
2016/5/27,5230
2016/5/30,5230
2016/5/31,5230
2016/6/1,5230
2016/6/2,5230
2016/6/3,5230
2016/6/6,5230
2016/6/7,5200
2016/6/8,5200
2016/6/13,5220
2016/6/14,5200
2016/6/15,5150
2016/6/16,5150
2016/6/17,5150
2016/6/20,5150
2016/6/21,5200
2016/6/22,5200
2016/6/23,5250
2016/6/24,5300
2016/6/27,5350
2016/6/28,5350
2016/6/29,5350
2016/6/30,5400
2016/7/1,5410
2016/7/4,5460
2016/7/5,5510
2016/7/6,5560
2016/7/7,5560
2016/7/8,5530
2016/7/11,5520
2016/7/12,5520
2016/7/13,5600
2016/7/14,5580
2016/7/15,5580
2016/7/18,5580
2016/7/19,5540
2016/7/20,5540
2016/7/21,5530
2016/7/22,5520
2016/7/25,5520
2016/7/26,5520
2016/7/27,5500
2016/7/28,5500
2016/7/29,5500
2016/8/1,5500
2016/8/2,5600
2016/8/3,5600
2016/8/4,5650
2016/8/5,5650
2016/8/8,5680
2016/8/9,5680
2016/8/10,5800
2016/8/11,5840
2016/8/12,5900
2016/8/15,5900
2016/8/16,5900
2016/8/17,5950
2016/8/18,5950
2016/8/19,5950
2016/8/22,5900
2016/8/23,5900
2016/8/24,5900
2016/8/25,5900
2016/8/26,5900
2016/8/29,5900
2016/8/30,5900
2016/8/31,5880
2016/9/1,5880
2016/9/2,5880
2016/9/5,5880
2016/9/6,5880
2016/9/7,5880
2016/9/8,5880
2016/9/9,6020
2016/9/12,6060
2016/9/13,6200
2016/9/14,6250
2016/9/19,6400
2016/9/20,6400
2016/9/21,6500
2016/9/22,6500
2016/9/23,6800
2016/9/26,6800
2016/9/27,6800
2016/9/28,6900
2016/9/29,6900
2016/9/30,6900
2016/10/10,6900
2016/10/11,7050
2016/10/12,7050
2016/10/13,7050
2016/10/14,7050
2016/10/17,7050
2016/10/18,7050
2016/10/19,6980
2016/10/20,6980
2016/10/21,6980
2016/10/24,6980
2016/10/25,7100
2016/10/26,7200
2016/10/27,7200
2016/10/28,7200
2016/10/31,7450
2016/11/1,7550
2016/11/2,7600
2016/11/3,7600
2016/11/4,7670
2016/11/7,7700
2016/11/8,7750
2016/11/9,7950
2016/11/10,8100
2016/11/11,8150
2016/11/14,8180
2016/11/15,8350
2016/11/16,8250
2016/11/17,8200
2016/11/18,8050
2016/11/21,8050
2016/11/22,8000
2016/11/23,8000
2016/11/24,7900
2016/11/25,7850
2016/11/28,7850
2016/11/29,7750
2016/11/30,7550
2016/12/1,7400
2016/12/2,7300
2016/12/5,7300
2016/12/6,7300
2016/12/7,7300
2016/12/8,7300
2016/12/9,7250
2016/12/12,7250
2016/12/13,7150
2016/12/14,7150
2016/12/15,7000
2016/12/16,6750
2016/12/19,6580
2016/12/20,6250
2016/12/21,6200
2016/12/22,6200
2016/12/23,6250
2016/12/26,6250
2016/12/27,6250
2016/12/28,6250
2016/12/29,6250
2016/12/30,6250
2017/1/3,6200
2017/1/4,6150
2017/1/5,6150
2017/1/6,6180
2017/1/9,6180
2017/1/10,6250
2017/1/11,6250
2017/1/12,6250
2017/1/13,6250
2017/1/16,6300
2017/1/17,6300
2017/1/18,6300
2017/1/19,6300
2017/1/20,6300
2017/1/23,6300
2017/1/24,6300
2017/1/25,6300
2017/1/26,6300
2017/2/3,6300
2017/2/6,6580
2017/2/7,6580
2017/2/8,6580
2017/2/9,6580
2017/2/10,6580
2017/2/13,6580
2017/2/14,6620
2017/2/15,6620
2017/2/16,6600
2017/2/17,6580
2017/2/20,6580
2017/2/21,6550
2017/2/22,6480
2017/2/23,6400
2017/2/24,6350
2017/2/27,6350
2017/2/28,6350
2017/3/1,6320
2017/3/2,6300
2017/3/3,6320
2017/3/6,6350
2017/3/7,6400
2017/3/8,6370
2017/3/9,6370
2017/3/10,6350
2017/3/13,6300
2017/3/14,6300
2017/3/15,6330
2017/3/16,6330
2017/3/17,6330
2017/3/20,6330
2017/3/21,6320
2017/3/22,6300
2017/3/23,6290
2017/3/24,6290
2017/3/27,6230
2017/3/28,6200
2017/3/29,6200
2017/3/30,6150
2017/3/31,6150
2017/4/5,6130
2017/4/6,6150
2017/4/7,6150
2017/4/10,6080
2017/4/11,6050
2017/4/12,6030
2017/4/13,5900
2017/4/14,5800
2017/4/17,5700
2017/4/18,5600
2017/4/19,5520
2017/4/20,5500
2017/4/21,5600
2017/4/24,5600
2017/4/25,5550
2017/4/26,5500
2017/4/27,5500
2017/4/28,5550
2017/5/2,5700
2017/5/3,5700
2017/5/4,5700
2017/5/5,5550
2017/5/8,5550
2017/5/9,5630
2017/5/10,5630
2017/5/11,5630
2017/5/12,5630
2017/5/15,5650
2017/5/16,5750
2017/5/17,5750
2017/5/18,5750
2017/5/19,5950
2017/5/22,5950
2017/5/23,6050
2017/5/24,6050
2017/5/25,5900
2017/5/26,5800
2017/5/31,5800
2017/6/1,5800
2017/6/2,5800
2017/6/5,5800
2017/6/6,5800
2017/6/7,5800
2017/6/8,5800
2017/6/9,5800
2017/6/12,5850
2017/6/13,5850
2017/6/14,5850
2017/6/15,5850
2017/6/16,5850
2017/6/19,5800
2017/6/20,5800
2017/6/21,5800
2017/6/22,5800
2017/6/23,5850
2017/6/26,5950
2017/6/27,6000
2017/6/28,6000
2017/6/29,6150
2017/6/30,6200
2017/7/3,6300
2017/7/4,6300
2017/7/5,6350
2017/7/6,6400
2017/7/7,6500
2017/7/10,6500
2017/7/11,6550
2017/7/12,6550
2017/7/13,6550
2017/7/14,6550
2017/7/17,6550
2017/7/18,6550
2017/7/19,6650
2017/7/20,6700
2017/7/21,6800
2017/7/24,6800
2017/7/25,6800
2017/7/26,6800
2017/7/27,6800
2017/7/28,6850
2017/7/31,6780
2017/8/1,6800
2017/8/2,6950
2017/8/3,6950
2017/8/4,7150
2017/8/7,7200
2017/8/8,7350
2017/8/9,7350
2017/8/10,7350
2017/8/11,7450
2017/8/14,7400
2017/8/15,7250
2017/8/16,7250
2017/8/17,7250
2017/8/18,7300
2017/8/21,7350
2017/8/22,7350
2017/8/23,7350
2017/8/24,7350
2017/8/25,7350
2017/8/28,7350
2017/8/29,7450
2017/8/30,7450
2017/8/31,7550
2017/9/1,7550
2017/9/4,7750
2017/9/5,7750
2017/9/6,7750
2017/9/7,7750
2017/9/8,7700
2017/9/11,7450
2017/9/12,7600
2017/9/13,7600
2017/9/14,7450
2017/9/15,7350
2017/9/18,7250
2017/9/19,7300
2017/9/20,7200
2017/9/21,7050
2017/9/22,6950
2017/9/25,6950
2017/9/26,7050
2017/9/27,7050
2017/9/28,6900
2017/9/29,6900
2017/10/9,6850
2017/10/10,6800
2017/10/11,6700
2017/10/12,6600
2017/10/13,6600
2017/10/16,6600
2017/10/17,6600
2017/10/18,6600
2017/10/19,6550
2017/10/20,6550
2017/10/23,6550
2017/10/24,6550
2017/10/25,6600
2017/10/26,6550
2017/10/27,6500
2017/10/30,6600
2017/10/31,6550
2017/11/1,6500
2017/11/2,6450
2017/11/3,6450
2017/11/6,6450
2017/11/7,6450
2017/11/8,6350
2017/11/9,6350
2017/11/10,6320
2017/11/13,6320
2017/11/14,6300
2017/11/15,6100
2017/11/16,6000
2017/11/17,5900
2017/11/20,5900
2017/11/21,5900
2017/11/22,6000
2017/11/23,6050
2017/11/24,6100
2017/11/27,6100
2017/11/28,6050
2017/11/29,6050
2017/11/30,5950
2017/12/1,5950
2017/12/4,6100
2017/12/5,6250
2017/12/6,6250
2017/12/7,6280
2017/12/8,6350
2017/12/11,6500
2017/12/12,6550
2017/12/13,6500
2017/12/14,6500
2017/12/15,6450
2017/12/18,6500
2017/12/19,6500
2017/12/20,6520
2017/12/21,6450
2017/12/22,6400
2017/12/25,6450
2017/12/26,6400
2017/12/27,6450
2017/12/28,6430
2017/12/29,6400
2018/1/2,6550
2018/1/3,6550
2018/1/4,6550
2018/1/5,6600
2018/1/8,6600
2018/1/9,6600
2018/1/10,6600
2018/1/11,6550
2018/1/12,6600
2018/1/15,6620
2018/1/16,6580
2018/1/17,6550
2018/1/18,6500
2018/1/19,6500
2018/1/22,6500
2018/1/23,6500
2018/1/24,6550
2018/1/25,6680
2018/1/26,6650
2018/1/29,6720
2018/1/30,6700
2018/1/31,6680
2018/2/1,6600
2018/2/2,6550
2018/2/5,6600
2018/2/6,6600
2018/2/7,6620
2018/2/8,6600
2018/2/9,6600
2018/2/12,6600
2018/2/13,6600
2018/2/14,6600
2018/2/22,6600
2018/2/23,6600
2018/2/26,6550
2018/2/27,6550
2018/2/28,6550
2018/3/1,6630
2018/3/2,6630
2018/3/5,6630
2018/3/6,6500
2018/3/7,6500
2018/3/8,6400
2018/3/9,6350
2018/3/12,6300
2018/3/13,6250
2018/3/14,6250
2018/3/15,6200
2018/3/16,6200
2018/3/19,6200
2018/3/20,6200
2018/3/21,6200
2018/3/22,6250
2018/3/23,6200
2018/3/26,6200
2018/3/27,6200
2018/3/28,6200
2018/3/29,6200
2018/3/30,6250
2018/4/2,6350
2018/4/3,6400
2018/4/4,6400
2018/4/9,6450
2018/4/10,6500
2018/4/11,6500
2018/4/12,6500
2018/4/13,6500
2018/4/16,6500
2018/4/17,6500
2018/4/18,6500
2018/4/19,6520
2018/4/20,6550
2018/4/23,6600
2018/4/24,6680
2018/4/25,6680
2018/4/26,6730
2018/4/27,6750
2018/5/2,6830
2018/5/3,6800
2018/5/4,6850
2018/5/7,6880
2018/5/8,6950
2018/5/9,6950
2018/5/10,7000
2018/5/11,6900
2018/5/14,6900
2018/5/15,6900
2018/5/16,6900
