date,MOPJ
2010/6/2,669.1
2010/6/3,664.95
2010/6/4,647.4
2010/6/7,646.3
2010/6/8,644
2010/6/9,666.8
2010/6/10,670.25
2010/6/11,659.15
2010/6/14,671.4
2010/6/15,673.5
2010/6/16,682.15
2010/6/17,688.05
2010/6/18,687.95
2010/6/21,679.35
2010/6/22,682.1
2010/6/23,661.1
2010/6/24,660.85
2010/6/25,683.4
2010/6/28,671.15
2010/6/29,648.4
2010/6/30,645.8
2010/7/1,621.85
2010/7/2,617.55
2010/7/6,634.8
2010/7/7,635.6
2010/7/8,637.55
2010/7/9,641.9
2010/7/12,629.9
2010/7/13,642.25
2010/7/14,653.05
2010/7/15,637.2
2010/7/16,634.8
2010/7/19,637
2010/7/20,642.05
2010/7/21,648.6
2010/7/22,664.6
2010/7/23,664.75
2010/7/26,648.55
2010/7/27,650.6
2010/7/28,652.25
2010/7/29,667.25
2010/7/30,664.65
2010/8/2,692.2
2010/8/3,702.05
2010/8/4,707.65
2010/8/5,702.5
2010/8/6,694.45
2010/8/9,701.9
2010/8/10,700.35
2010/8/11,682.05
2010/8/12,667.2
2010/8/13,660.2
2010/8/16,661.3
2010/8/17,681.1
2010/8/18,677.65
2010/8/19,663.6
2010/8/20,654.4
2010/8/23,653.9
2010/8/24,649.5
2010/8/25,647.9
2010/8/26,668.8
2010/8/27,677.6
2010/8/30,677.6
2010/8/31,664.6
2010/9/1,684
2010/9/2,682.95
2010/9/3,672.2
2010/9/7,678.05
2010/9/8,700
2010/9/9,693.8
2010/9/10,692.9
2010/9/13,698.7
2010/9/14,700.35
2010/9/15,694.95
2010/9/16,681
2010/9/17,679.55
2010/9/20,697.65
2010/9/21,695.6
2010/9/22,685.3
2010/9/23,687.25
2010/9/24,695.05
2010/9/27,692.8
2010/9/28,708.6
2010/9/29,718.25
2010/9/30,725.15
2010/10/1,741.25
2010/10/4,747.6
2010/10/5,750.7
2010/10/6,763.4
2010/10/7,755.05
2010/10/8,762.9
2010/10/11,761.2
2010/10/12,757.6
2010/10/13,768.15
2010/10/14,765.15
2010/10/15,761.25
2010/10/18,770.8
2010/10/19,753.15
2010/10/20,758.3
2010/10/21,752.05
2010/10/22,760.75
2010/10/25,757.3
2010/10/26,761.4
2010/10/27,754.15
2010/10/28,767
2010/10/29,762.15
2010/11/1,786.65
2010/11/2,782.5
2010/11/3,782.45
2010/11/4,799.1
2010/11/5,794.2
2010/11/8,789.2
2010/11/9,794.6
2010/11/10,804.6
2010/11/11,809.9
2010/11/12,788.35
2010/11/15,798.7
2010/11/16,774.85
2010/11/17,766.9
2010/11/18,785.85
2010/11/19,768.95
2010/11/22,761.45
2010/11/23,764.75
2010/11/24,790.35
2010/11/26,795.1
2010/11/29,804.1
2010/11/30,806.75
2010/12/1,813.85
2010/12/2,831.2
2010/12/3,839.55
2010/12/6,838.05
2010/12/7,835.9
2010/12/8,832.95
2010/12/9,837.85
2010/12/10,827.8
2010/12/13,836.6
2010/12/14,840.85
2010/12/15,845
2010/12/16,848.1
2010/12/17,850.45
2010/12/20,860.15
2010/12/21,865.55
2010/12/22,869.05
2010/12/23,878.35
2010/12/27,876.8
2010/12/28,876.8
2010/12/29,870.65
2010/12/30,863.3
2010/12/31,867.7
2011/1/3,860.2
2011/1/4,863.85
2011/1/5,877.7
2011/1/6,868.15
2011/1/7,851.35
2011/1/10,859.4
2011/1/11,870.75
2011/1/12,870.55
2011/1/13,869.3
2011/1/14,877.15
2011/1/18,877.8
2011/1/19,876.25
2011/1/20,858.85
2011/1/21,864.8
2011/1/24,859.7
2011/1/25,840
2011/1/26,853.6
2011/1/27,855.95
2011/1/28,868
2011/1/31,879.05
2011/2/1,876.6
2011/2/2,878.5
2011/2/3,881.35
2011/2/4,859.6
2011/2/7,860.65
2011/2/8,866.5
2011/2/9,882.25
2011/2/10,870.7
2011/2/11,863.55
2011/2/14,887.2
2011/2/15,872.25
2011/2/16,885.45
2011/2/17,885.5
2011/2/18,878.45
2011/2/22,907.85
2011/2/23,936.45
2011/2/24,956.2
2011/2/25,952.8
2011/2/28,965.75
2011/3/1,978.8
2011/3/2,1005.5
2011/3/3,993.65
2011/3/4,1010.2
2011/3/7,1004.85
2011/3/8,978.7
2011/3/9,1000.5
2011/3/10,986.4
2011/3/11,975.2
2011/3/14,954.35
2011/3/15,920.25
2011/3/16,937.45
2011/3/17,962.6
2011/3/18,961.9
2011/3/21,981.85
2011/3/22,981.5
2011/3/23,987.6
2011/3/24,986.9
2011/3/25,993.3
2011/3/28,982.7
2011/3/29,981.8
2011/3/30,988.45
2011/3/31,1001.55
2011/4/1,1003.1
2011/4/4,1013.85
2011/4/5,1025.5
2011/4/6,1019.95
2011/4/7,1029.25
2011/4/8,1058.2
2011/4/11,1045.9
2011/4/12,1023.25
2011/4/13,1038.3
2011/4/14,1048.05
2011/4/15,1062.25
2011/4/18,1034.8
2011/4/19,1034.85
2011/4/20,1059.6
2011/4/21,1068.4
2011/4/25,1068.4
2011/4/26,1070.25
2011/4/27,1082.1
2011/4/28,1090.3
2011/4/29,1090.3
2011/5/2,1084.8
2011/5/3,1067.4
2011/5/4,1040.5
2011/5/5,988.45
2011/5/6,964.4
2011/5/9,995.85
2011/5/10,1024.5
2011/5/11,986.65
2011/5/12,968.15
2011/5/13,967.1
2011/5/16,957.75
2011/5/17,932.55
2011/5/18,964.85
2011/5/19,960.7
2011/5/20,965.45
2011/5/23,943.6
2011/5/24,956.55
2011/5/25,972.8
2011/5/26,973.6
2011/5/27,978.45
2011/5/31,979.25
2011/6/1,965.5
2011/6/2,947.45
2011/6/3,963.95
2011/6/6,966.35
2011/6/7,958.95
2011/6/8,976.3
2011/6/9,980.65
2011/6/10,974.2
2011/6/13,959.25
2011/6/14,975.45
2011/6/15,953.45
2011/6/16,941.9
2011/6/17,939.1
2011/6/20,927.75
2011/6/21,918.75
2011/6/22,948.5
2011/6/23,909.85
2011/6/24,876.8
2011/6/27,874.95
2011/6/28,903.7
2011/6/29,931.25
2011/6/30,916.4
2011/7/1,925.15
2011/7/5,952.4
2011/7/6,953.7
2011/7/7,990.4
2011/7/8,984.7
2011/7/11,970.3
2011/7/12,973.95
2011/7/13,992.75
2011/7/14,975.7
2011/7/15,989.15
2011/7/18,980.35
2011/7/19,993.4
2011/7/20,993
2011/7/21,1003.45
2011/7/22,1002.85
2011/7/25,1005.7
2011/7/26,1011.05
2011/7/27,999.15
2011/7/28,989.95
2011/7/29,989.35
2011/8/1,988.3
2011/8/2,993.85
2011/8/3,968.4
2011/8/4,929.5
2011/8/5,916.4
2011/8/8,898.05
2011/8/9,886.85
2011/8/10,894.5
2011/8/11,909.2
2011/8/12,927
2011/8/15,935.4
2011/8/16,927.6
2011/8/17,954.9
2011/8/18,928.3
2011/8/19,943.55
2011/8/22,931.55
2011/8/23,950.4
2011/8/24,961.15
2011/8/25,960.45
2011/8/26,960.65
2011/8/29,960.65
2011/8/30,977.35
2011/8/31,977.35
2011/9/1,982.05
2011/9/2,961.25
2011/9/6,943.05
2011/9/7,982.8
2011/9/8,981.05
2011/9/9,947.95
2011/9/12,952.8
2011/9/13,950.45
2011/9/14,949.8
2011/9/15,975.95
2011/9/16,969.85
2011/9/19,944.85
2011/9/20,954.15
2011/9/21,957.1
2011/9/22,904.1
2011/9/23,899.95
2011/9/26,893.7
2011/9/27,917.2
2011/9/28,915.8
2011/9/29,902.75
2011/9/30,880.15
2011/10/3,867.55
2011/10/4,849.4
2011/10/5,855
2011/10/6,861.05
2011/10/7,876.65
2011/10/10,885.85
2011/10/11,877.7
2011/10/12,905.5
2011/10/13,905.2
2011/10/14,925.1
2011/10/17,917.9
2011/10/18,908.85
2011/10/19,899.3
2011/10/20,879.5
2011/10/21,890.05
2011/10/24,880.4
2011/10/25,867.05
2011/10/26,866.5
2011/10/27,879.3
2011/10/28,873
2011/10/31,865.75
2011/11/1,853.3
2011/11/2,882.4
2011/11/3,878.6
2011/11/4,891.4
2011/11/7,899.25
2011/11/8,903.55
2011/11/9,904.7
2011/11/10,889
2011/11/11,886.4
2011/11/14,868.25
2011/11/15,880.55
2011/11/16,889.5
2011/11/17,873.05
